db_id,difficulty,p50_overlap_similarity,p90_overlap_similarity,p99_overlap_similarity,last_queries
debit_card_specializing,simple,0.5,0.6984615384615385,0.8057692307692306,0
debit_card_specializing,challenging,0.3239289446185998,0.3579937304075235,0.3630721003134796,0
debit_card_specializing,moderate,0.4285714285714285,0.5882352941176471,0.6376470588235295,0
thrombosis_prediction,simple,0.3888888888888889,0.6195804195804197,0.8297142857142855,0
thrombosis_prediction,challenging,0.3666666666666666,0.6085714285714285,0.6769999999999999,0
thrombosis_prediction,moderate,0.3684210526315789,0.5426573426573427,0.7092647058823525,0
california_schools,simple,0.5,0.6595238095238096,1.0,0
california_schools,challenging,0.3055555555555556,0.4285714285714285,0.4285714285714285,0
california_schools,moderate,0.3849206349206349,0.7050000000000001,0.9086111111111111,0
debit_card_specializing,simple,0.5,0.6666666666666666,0.7987692307692306,1
debit_card_specializing,challenging,0.3345959595959596,0.486013986013986,0.5332167832167831,1
debit_card_specializing,moderate,0.4761904761904761,0.65,0.95,1
thrombosis_prediction,simple,0.5,0.741818181818182,0.8571428571428571,1
thrombosis_prediction,challenging,0.45,0.6575,0.7453333333333333,1
thrombosis_prediction,moderate,0.4444444444444444,0.696923076923077,0.8746666666666665,1
california_schools,simple,0.5477272727272727,0.8579365079365082,1.0,1
california_schools,challenging,0.3214285714285714,0.4824561403508772,0.5219298245614035,1
california_schools,moderate,0.4166666666666667,0.708791208791209,0.9086111111111111,1
debit_card_specializing,simple,0.5454545454545454,0.8307692307692311,1.0,2
debit_card_specializing,challenging,0.3714733542319749,0.4637931034482758,0.4963793103448276,2
debit_card_specializing,moderate,0.4761904761904761,0.7596638655462187,0.9885714285714284,2
thrombosis_prediction,simple,0.6,0.8857142857142861,1.0,2
thrombosis_prediction,challenging,0.5263157894736842,0.6761904761904761,0.8,2
thrombosis_prediction,moderate,0.5333333333333333,0.7857142857142857,0.9299999999999996,2
california_schools,simple,0.5773809523809523,0.8127272727272729,0.9469999999999998,2
california_schools,challenging,0.4285714285714285,0.5093103448275862,0.5459310344827587,2
california_schools,moderate,0.4852941176470588,0.8046153846153847,0.8796825396825396,2
debit_card_specializing,simple,0.5555555555555556,0.9800000000000004,1.0,5
debit_card_specializing,challenging,0.3224431818181818,0.3657575757575757,0.3665757575757575,5
debit_card_specializing,moderate,0.5,0.8329670329670331,0.9285714285714286,5
thrombosis_prediction,simple,0.6666666666666666,0.9200000000000004,1.0,5
thrombosis_prediction,challenging,0.5714285714285714,0.8233333333333333,0.9835294117647058,5
thrombosis_prediction,moderate,0.6153846153846154,0.8,1.0,5
california_schools,simple,0.5,0.8173076923076925,1.0,5
california_schools,challenging,0.3571428571428571,0.4991304347826087,0.5586086956521739,5
california_schools,moderate,0.4583333333333333,0.8046153846153847,0.8869934640522875,5
debit_card_specializing,simple,0.7272727272727273,1.0,1.0,10
debit_card_specializing,challenging,0.3714733542319749,0.6547021943573668,0.7609247648902819,10
debit_card_specializing,moderate,0.5625,0.92,1.0,10
thrombosis_prediction,simple,0.6666666666666666,1.0,1.0,10
thrombosis_prediction,challenging,0.625,0.8512820512820513,0.9376470588235294,10
thrombosis_prediction,moderate,0.6153846153846154,0.8294117647058824,1.0,10
california_schools,simple,0.7350877192982456,0.926923076923077,1.0,10
california_schools,challenging,0.4482758620689655,0.7088235294117647,0.7458823529411764,10
california_schools,moderate,0.66875,0.8894736842105263,0.9758333333333334,10
debit_card_specializing,simple,0.7272727272727273,1.0,1.0,20
debit_card_specializing,challenging,0.3714733542319749,0.6547021943573668,0.7609247648902819,20
debit_card_specializing,moderate,0.5625,0.92,1.0,20
thrombosis_prediction,simple,0.6666666666666666,1.0,1.0,20
thrombosis_prediction,challenging,0.625,0.8512820512820513,0.9376470588235294,20
thrombosis_prediction,moderate,0.6153846153846154,0.8294117647058824,1.0,20
california_schools,simple,0.7350877192982456,0.926923076923077,1.0,20
california_schools,challenging,0.4482758620689655,0.7088235294117647,0.7458823529411764,20
california_schools,moderate,0.66875,0.8894736842105263,0.9758333333333334,20
